field1,Name,NewCode,code,Groupping,Sweetness,L,A,B,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid,Theobromine,K,Fe,Zn,Na,sucrose_maltose,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid,Serine,alanine,glycine,threonine,glutamic_acid,proline,histidine,arginine,leucine,phynylalanine
121,ML7001,ML7001-5,F21,5,15,56.02,0.7,15.48,1.99,14.03,13.04,0.02,0.01,9652.07,15.09,13.32,60.13,28.14,0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,28.55,132.51,37.91,53.3
155,PT1,PT12001-1,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
156,PT1,PT12001-2,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
157,PT1,PT12001-3,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
158,PT1,PT12001-4,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
159,PT1,PT12001-5,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
160,PT1,PT12001-6,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
161,PT1,PT12001-7,F30,2,12,52.31,0.94,12.87,2.57,12.32,13.67,0.02,0.01,8998.73,17.35,30.23,69.28,34.7,2.88,0.13,1.97,0.03,3.63,129.02,134.07,270.67,31.42,35.5,175.29,61.33,34.45,176.95,78.2,96.36
192,PTT1,PTT12001-1,F39,3,12.7,50.26,1.41,12.07,2.61,12.55,12.91,0.02,0.01,11637.52,16.28,9.85,30.91,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138,408.04,34.87,45.74,218.46,74.41,42.25,240.09,87.8,121.76
193,PTT1,PTT12001-2,F39,3,12.7,50.26,1.41,12.07,2.61,12.55,12.91,0.02,0.01,11637.52,16.28,9.85,30.91,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138,408.04,34.87,45.74,218.46,74.41,42.25,240.09,87.8,121.76
194,PTT1,PTT12001-3,F39,3,12.7,50.26,1.41,12.07,2.61,12.55,12.91,0.02,0.01,11637.52,16.28,9.85,30.91,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138,408.04,34.87,45.74,218.46,74.41,42.25,240.09,87.8,121.76
195,PTT1,PTT12001-4,F39,3,12.7,50.26,1.41,12.07,2.61,12.55,12.91,0.02,0.01,11637.52,16.28,9.85,30.91,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138,408.04,34.87,45.74,218.46,74.41,42.25,240.09,87.8,121.76
196,PTT1,PTT12001-5,F39,3,12.7,50.26,1.41,12.07,2.61,12.55,12.91,0.02,0.01,11637.52,16.28,9.85,30.91,27.87,0.86,0.09,1.89,0.02,1.83,177.52,138,408.04,34.87,45.74,218.46,74.41,42.25,240.09,87.8,121.76
202,PTT3,PTT12003-1,F41,3,16.3,49.03,1.43,13.84,2.59,12.43,12.11,0.02,0.01,11290.96,23.01,15.45,35.81,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,44.71,272.16,106.84,111.52
203,PTT3,PTT12003-2,F41,3,16.3,49.03,1.43,13.84,2.59,12.43,12.11,0.02,0.01,11290.96,23.01,15.45,35.81,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,44.71,272.16,106.84,111.52
204,PTT3,PTT12003-3,F41,3,16.3,49.03,1.43,13.84,2.59,12.43,12.11,0.02,0.01,11290.96,23.01,15.45,35.81,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,44.71,272.16,106.84,111.52
205,PTT3,PTT12003-4,F41,3,16.3,49.03,1.43,13.84,2.59,12.43,12.11,0.02,0.01,11290.96,23.01,15.45,35.81,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,44.71,272.16,106.84,111.52
206,PTT3,PTT12003-5,F41,3,16.3,49.03,1.43,13.84,2.59,12.43,12.11,0.02,0.01,11290.96,23.01,15.45,35.81,28.69,1.01,0.12,2.05,0.02,1.47,204.91,150.56,387.57,39.59,45.63,241.54,79.58,44.71,272.16,106.84,111.52
220,BK1,BK-10001-1,F48,6,15,49.48,1.25,11.67,0.94,4.14,11.72,0.02,0.01,8322.9,10.84,8.88,16.49,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,37.02,381.68,74.05,152.09
221,BK1,BK-10001-2,F48,6,15,49.48,1.25,11.67,0.94,4.14,11.72,0.02,0.01,8322.9,10.84,8.88,16.49,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,37.02,381.68,74.05,152.09
222,BK1,BK-10001-3,F48,6,15,49.48,1.25,11.67,0.94,4.14,11.72,0.02,0.01,8322.9,10.84,8.88,16.49,32.1,0.37,0.14,1.91,0.03,4.28,254.84,185.4,417.97,25.97,44.1,457.11,63.88,37.02,381.68,74.05,152.09
225,BK3,BK-10003-1,F50,6,17,52.42,0.81,12.4,1.99,9.39,14.73,0,0.01,11837.77,15.56,10.14,31.81,32.14,0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,52.47,295.35,68.86,139.61
226,BK3,BK-10003-2,F50,6,17,52.42,0.81,12.4,1.99,9.39,14.73,0,0.01,11837.77,15.56,10.14,31.81,32.14,0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,52.47,295.35,68.86,139.61
227,BK3,BK-10003-3,F50,6,17,52.42,0.81,12.4,1.99,9.39,14.73,0,0.01,11837.77,15.56,10.14,31.81,32.14,0,0.14,1.6,0.01,2.52,251.92,187.75,396.23,36.27,45.11,317.6,67.28,52.47,295.35,68.86,139.61
