,Name,New Code, code ,Groupping,Sweetness,L,A,B,density,Fatty,Total_protein,Total_sugar,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid ,Caffeine,Chrogenic_acid , Trigonelline , Theobromine,K,Ca,Fe,Zn,Na,Mg,sucrose_maltose ,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid ,Serine, alanine,glycine,threonine, glutamic_acid,proline,lysine,histidine,arginine,valine,metheonine,tyrosine,isoleucine,leucine, phynylalanine,Tryptophan,adenosine
10,DC1,DC8001-11,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
11,DC1,DC8001-12,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
12,DC1,DC8001-13,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
13,DC1,DC8001-14,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
14,DC1,DC8001-15,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
15,DC1,DC8001-16,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
16,DC1,DC8001-17,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
17,DC1,DC8001-18,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
18,DC1,DC8001-19,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
19,DC1,DC8001-20,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
20,DC2,DC8002-1,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
21,DC2,DC8002-2,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
22,DC2,DC8002-3,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
23,DC2,DC8002-4,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
24,DC2,DC8002-5,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
25,DC2,DC8002-6,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
26,DC2,DC8002-7,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
27,DC2,DC8002-8,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
28,DC2,DC8002-9,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
29,DC2,DC8002-10,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
30,DC2,DC8002-11,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
31,DC2,DC8002-12,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
32,DC2,DC8002-13,F2,1,18.0,48.49,0.78,12.39,0.7,445.1,513.91,58.95,2.68,19.32,10.36,0.0,2.21,6.18,1.32,0.01,10049.52,161.14,17.54,19.82,84.7,1358.86,31.99,0.89,0.09,3.0,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,45.54,34.49,133.82,56.39,13.14,39.65,35.39,51.59,68.91,120.51,44.08
46,DC2R2,DC8002R2_1,F5,1,17.5,50.08,0.32,13.87,0.69,527.1,476.34,55.39,2.22,17.04,13.58,0.01,1.82,5.63,1.31,0.01,13242.26,203.75,19.35,19.5,57.15,2208.34,25.16,0.5,0.12,2.37,0.04,4.69,285.04,173.42,436.41,42.72,42.51,213.27,66.16,63.24,50.94,238.63,67.78,12.58,45.88,44.12,67.03,83.85,345.83,57.23
47,DC2R2,DC8002R2_2,F5,1,17.5,50.08,0.32,13.87,0.69,527.1,476.34,55.39,2.22,17.04,13.58,0.01,1.82,5.63,1.31,0.01,13242.26,203.75,19.35,19.5,57.15,2208.34,25.16,0.5,0.12,2.37,0.04,4.69,285.04,173.42,436.41,42.72,42.51,213.27,66.16,63.24,50.94,238.63,67.78,12.58,45.88,44.12,67.03,83.85,345.83,57.23
48,DC2R2,DC8002R2_3,F5,1,17.5,50.08,0.32,13.87,0.69,527.1,476.34,55.39,2.22,17.04,13.58,0.01,1.82,5.63,1.31,0.01,13242.26,203.75,19.35,19.5,57.15,2208.34,25.16,0.5,0.12,2.37,0.04,4.69,285.04,173.42,436.41,42.72,42.51,213.27,66.16,63.24,50.94,238.63,67.78,12.58,45.88,44.12,67.03,83.85,345.83,57.23
49,DC2R2,DC8002R2_4,F5,1,17.5,50.08,0.32,13.87,0.69,527.1,476.34,55.39,2.22,17.04,13.58,0.01,1.82,5.63,1.31,0.01,13242.26,203.75,19.35,19.5,57.15,2208.34,25.16,0.5,0.12,2.37,0.04,4.69,285.04,173.42,436.41,42.72,42.51,213.27,66.16,63.24,50.94,238.63,67.78,12.58,45.88,44.12,67.03,83.85,345.83,57.23
50,DC2R2,DC8002R2_5,F5,1,17.5,50.08,0.32,13.87,0.69,527.1,476.34,55.39,2.22,17.04,13.58,0.01,1.82,5.63,1.31,0.01,13242.26,203.75,19.35,19.5,57.15,2208.34,25.16,0.5,0.12,2.37,0.04,4.69,285.04,173.42,436.41,42.72,42.51,213.27,66.16,63.24,50.94,238.63,67.78,12.58,45.88,44.12,67.03,83.85,345.83,57.23
51,DC3R2,DC12003R2-1,F6,1,18.0,52.24,1.5,9.94,0.67,512.6,501.94,50.53,2.71,19.59,9.17,0.02,1.73,6.15,1.36,0.02,17668.04,220.49,26.53,23.96,68.43,2417.68,31.38,0.54,0.08,2.91,0.05,4.87,186.6,115.09,308.78,31.78,36.17,251.71,61.13,47.51,37.08,147.28,68.01,16.79,35.32,45.3,62.95,85.83,129.9,49.82
52,DC3R2,DC12003R2-2,F6,1,18.0,52.24,1.5,9.94,0.67,512.6,501.94,50.53,2.71,19.59,9.17,0.02,1.73,6.15,1.36,0.02,17668.04,220.49,26.53,23.96,68.43,2417.68,31.38,0.54,0.08,2.91,0.05,4.87,186.6,115.09,308.78,31.78,36.17,251.71,61.13,47.51,37.08,147.28,68.01,16.79,35.32,45.3,62.95,85.83,129.9,49.82
53,DC3R2,DC12003R2-3,F6,1,18.0,52.24,1.5,9.94,0.67,512.6,501.94,50.53,2.71,19.59,9.17,0.02,1.73,6.15,1.36,0.02,17668.04,220.49,26.53,23.96,68.43,2417.68,31.38,0.54,0.08,2.91,0.05,4.87,186.6,115.09,308.78,31.78,36.17,251.71,61.13,47.51,37.08,147.28,68.01,16.79,35.32,45.3,62.95,85.83,129.9,49.82
54,DC3R2,DC12003R2-4,F6,1,18.0,52.24,1.5,9.94,0.67,512.6,501.94,50.53,2.71,19.59,9.17,0.02,1.73,6.15,1.36,0.02,17668.04,220.49,26.53,23.96,68.43,2417.68,31.38,0.54,0.08,2.91,0.05,4.87,186.6,115.09,308.78,31.78,36.17,251.71,61.13,47.51,37.08,147.28,68.01,16.79,35.32,45.3,62.95,85.83,129.9,49.82
55,DC3R2,DC12003R2-5,F6,1,18.0,52.24,1.5,9.94,0.67,512.6,501.94,50.53,2.71,19.59,9.17,0.02,1.73,6.15,1.36,0.02,17668.04,220.49,26.53,23.96,68.43,2417.68,31.38,0.54,0.08,2.91,0.05,4.87,186.6,115.09,308.78,31.78,36.17,251.71,61.13,47.51,37.08,147.28,68.01,16.79,35.32,45.3,62.95,85.83,129.9,49.82
56,DCkg1,DC1000-1200-E,F7,1,14.7,51.52,1.63,14.32,0.68,479.9,410.06,48.63,2.33,16.85,12.39,0.01,3.12,6.04,1.35,0.01,14636.09,241.04,20.83,19.93,56.49,2043.41,34.63,1.74,0.17,2.94,0.06,4.9,168.89,162.3,381.01,35.8,39.48,295.9,72.31,58.08,42.0,203.06,68.82,14.81,46.89,44.06,73.4,111.71,201.29,44.29
57,DCkg2,DC1300-1400-E,F7,1,18.0,50.38,0.68,13.83,0.68,507.3,458.04,71.44,3.16,23.18,12.79,0.0,2.73,6.3,1.48,0.01,13152.25,191.96,19.04,19.16,69.09,1364.1,29.54,1.01,0.15,3.26,0.06,4.34,159.83,137.65,349.53,32.33,33.9,273.65,69.87,46.28,39.57,152.9,63.08,14.15,39.83,40.35,63.63,103.69,174.19,54.13
58,DCkg3,DC1200-1300-W,F7,1,17.7,51.05,1.75,14.57,0.68,576.2,516.27,48.11,2.81,20.39,13.99,0.01,2.72,6.1,1.26,0.02,8461.41,159.95,17.6,18.61,55.88,1065.83,33.68,2.25,0.11,1.9,0.03,3.62,183.13,205.14,444.59,42.05,50.32,328.2,78.09,67.58,44.13,274.89,81.53,18.11,55.46,53.11,87.16,104.76,177.01,49.5
59,DCkg4,DC1300-1400-W,F7,1,14.3,49.55,1.9,14.84,0.68,457.8,459.0,57.27,2.74,19.49,12.38,0.0,1.75,5.99,1.33,0.02,13927.86,216.66,22.15,20.44,62.28,1832.75,37.19,1.62,0.11,2.23,0.03,3.32,128.62,98.69,214.25,23.06,21.22,195.27,46.95,32.95,28.25,108.6,45.46,9.74,26.03,28.62,44.94,54.61,142.12,22.63
60,PL1,PL8001-1,F8,4,19.0,50.9,1.65,11.76,0.64,378.3,650.85,43.91,2.18,14.94,12.21,0.0,1.07,5.71,1.09,0.0,14089.26,193.39,23.64,23.46,84.1,1690.27,39.79,0.65,0.12,4.04,0.07,3.67,230.12,137.55,385.42,47.87,42.28,300.02,66.49,55.53,42.02,285.45,86.09,18.12,45.5,57.43,86.25,98.51,141.27,49.22
61,PL1,PL8001-2,F8,4,19.0,50.9,1.65,11.76,0.64,378.3,650.85,43.91,2.18,14.94,12.21,0.0,1.07,5.71,1.09,0.0,14089.26,193.39,23.64,23.46,84.1,1690.27,39.79,0.65,0.12,4.04,0.07,3.67,230.12,137.55,385.42,47.87,42.28,300.02,66.49,55.53,42.02,285.45,86.09,18.12,45.5,57.43,86.25,98.51,141.27,49.22
62,PL1,PL8001-3,F8,4,19.0,50.9,1.65,11.76,0.64,378.3,650.85,43.91,2.18,14.94,12.21,0.0,1.07,5.71,1.09,0.0,14089.26,193.39,23.64,23.46,84.1,1690.27,39.79,0.65,0.12,4.04,0.07,3.67,230.12,137.55,385.42,47.87,42.28,300.02,66.49,55.53,42.02,285.45,86.09,18.12,45.5,57.43,86.25,98.51,141.27,49.22
63,PL1,PL8001-4,F8,4,19.0,50.9,1.65,11.76,0.64,378.3,650.85,43.91,2.18,14.94,12.21,0.0,1.07,5.71,1.09,0.0,14089.26,193.39,23.64,23.46,84.1,1690.27,39.79,0.65,0.12,4.04,0.07,3.67,230.12,137.55,385.42,47.87,42.28,300.02,66.49,55.53,42.02,285.45,86.09,18.12,45.5,57.43,86.25,98.51,141.27,49.22
64,PL2,PL8002-1,F9,4,18.0,52.55,1.32,13.48,0.69,519.7,556.92,72.7,2.84,19.52,11.31,0.01,1.76,6.28,1.39,0.0,13720.8,179.3,62.43,22.55,53.2,1773.07,44.29,1.04,0.08,3.05,0.05,3.68,140.18,82.63,277.57,29.12,31.05,193.31,53.57,31.66,29.02,106.59,63.33,14.32,34.84,39.8,66.6,84.3,73.25,46.22
65,PL2,PL8002-2,F9,4,18.0,52.55,1.32,13.48,0.69,519.7,556.92,72.7,2.84,19.52,11.31,0.01,1.76,6.28,1.39,0.0,13720.8,179.3,62.43,22.55,53.2,1773.07,44.29,1.04,0.08,3.05,0.05,3.68,140.18,82.63,277.57,29.12,31.05,193.31,53.57,31.66,29.02,106.59,63.33,14.32,34.84,39.8,66.6,84.3,73.25,46.22
66,PL2,PL8002-3,F9,4,18.0,52.55,1.32,13.48,0.69,519.7,556.92,72.7,2.84,19.52,11.31,0.01,1.76,6.28,1.39,0.0,13720.8,179.3,62.43,22.55,53.2,1773.07,44.29,1.04,0.08,3.05,0.05,3.68,140.18,82.63,277.57,29.12,31.05,193.31,53.57,31.66,29.02,106.59,63.33,14.32,34.84,39.8,66.6,84.3,73.25,46.22
67,PL2,PL8002-4,F9,4,18.0,52.55,1.32,13.48,0.69,519.7,556.92,72.7,2.84,19.52,11.31,0.01,1.76,6.28,1.39,0.0,13720.8,179.3,62.43,22.55,53.2,1773.07,44.29,1.04,0.08,3.05,0.05,3.68,140.18,82.63,277.57,29.12,31.05,193.31,53.57,31.66,29.02,106.59,63.33,14.32,34.84,39.8,66.6,84.3,73.25,46.22
68,PL3,PL8003-1,F10,4,15.0,52.86,2.21,14.19,0.68,555.1,683.59,84.63,3.45,22.85,14.23,0.01,3.16,7.0,1.49,0.0,20888.49,276.64,38.34,39.11,73.42,2911.59,36.99,1.55,0.1,3.15,0.06,3.62,126.84,81.89,213.03,32.0,27.22,188.96,59.23,40.4,31.33,145.16,63.62,15.02,40.23,40.82,71.32,82.73,113.64,45.23
69,PL3,PL8003-2,F10,4,15.0,52.86,2.21,14.19,0.68,555.1,683.59,84.63,3.45,22.85,14.23,0.01,3.16,7.0,1.49,0.0,20888.49,276.64,38.34,39.11,73.42,2911.59,36.99,1.55,0.1,3.15,0.06,3.62,126.84,81.89,213.03,32.0,27.22,188.96,59.23,40.4,31.33,145.16,63.62,15.02,40.23,40.82,71.32,82.73,113.64,45.23
70,PL3,PL8003-3,F10,4,15.0,52.86,2.21,14.19,0.68,555.1,683.59,84.63,3.45,22.85,14.23,0.01,3.16,7.0,1.49,0.0,20888.49,276.64,38.34,39.11,73.42,2911.59,36.99,1.55,0.1,3.15,0.06,3.62,126.84,81.89,213.03,32.0,27.22,188.96,59.23,40.4,31.33,145.16,63.62,15.02,40.23,40.82,71.32,82.73,113.64,45.23
71,PL3,PL8003-4,F10,4,15.0,52.86,2.21,14.19,0.68,555.1,683.59,84.63,3.45,22.85,14.23,0.01,3.16,7.0,1.49,0.0,20888.49,276.64,38.34,39.11,73.42,2911.59,36.99,1.55,0.1,3.15,0.06,3.62,126.84,81.89,213.03,32.0,27.22,188.96,59.23,40.4,31.33,145.16,63.62,15.02,40.23,40.82,71.32,82.73,113.64,45.23
72,PL4,PL8004-1,F11,4,17.0,55.67,1.48,12.41,0.7,526.9,517.19,64.48,2.66,19.26,13.48,0.02,2.89,6.99,1.55,0.0,13181.84,205.99,94.7,30.74,61.3,1221.98,39.64,0.73,0.1,2.74,0.04,3.24,54.12,34.11,89.98,17.22,15.1,91.31,32.67,20.36,21.07,53.48,34.67,7.59,19.51,21.35,33.69,47.02,62.27,30.24
73,PL4,PL8004-2,F11,4,17.0,55.67,1.48,12.41,0.7,526.9,517.19,64.48,2.66,19.26,13.48,0.02,2.89,6.99,1.55,0.0,13181.84,205.99,94.7,30.74,61.3,1221.98,39.64,0.73,0.1,2.74,0.04,3.24,54.12,34.11,89.98,17.22,15.1,91.31,32.67,20.36,21.07,53.48,34.67,7.59,19.51,21.35,33.69,47.02,62.27,30.24
74,PL4,PL8004-3,F11,4,17.0,55.67,1.48,12.41,0.7,526.9,517.19,64.48,2.66,19.26,13.48,0.02,2.89,6.99,1.55,0.0,13181.84,205.99,94.7,30.74,61.3,1221.98,39.64,0.73,0.1,2.74,0.04,3.24,54.12,34.11,89.98,17.22,15.1,91.31,32.67,20.36,21.07,53.48,34.67,7.59,19.51,21.35,33.69,47.02,62.27,30.24
75,PL4,PL8004-4,F11,4,17.0,55.67,1.48,12.41,0.7,526.9,517.19,64.48,2.66,19.26,13.48,0.02,2.89,6.99,1.55,0.0,13181.84,205.99,94.7,30.74,61.3,1221.98,39.64,0.73,0.1,2.74,0.04,3.24,54.12,34.11,89.98,17.22,15.1,91.31,32.67,20.36,21.07,53.48,34.67,7.59,19.51,21.35,33.69,47.02,62.27,30.24
76,PL5,PL8005-1,F12,4,17.0,58.14,0.66,15.54,0.65,585.1,532.33,61.61,3.04,22.28,10.49,0.03,1.47,6.51,1.46,0.01,12209.06,176.2,24.32,18.62,51.76,1417.6,29.64,0.53,0.1,2.88,0.04,3.69,134.06,74.38,229.59,24.98,28.73,245.48,51.85,38.49,31.16,112.37,53.56,14.06,33.64,33.25,58.19,135.77,102.45,54.19
77,PL5,PL8005-2,F12,4,17.0,58.14,0.66,15.54,0.65,585.1,532.33,61.61,3.04,22.28,10.49,0.03,1.47,6.51,1.46,0.01,12209.06,176.2,24.32,18.62,51.76,1417.6,29.64,0.53,0.1,2.88,0.04,3.69,134.06,74.38,229.59,24.98,28.73,245.48,51.85,38.49,31.16,112.37,53.56,14.06,33.64,33.25,58.19,135.77,102.45,54.19
